cutoff,iteration,role,n,grid_count,M_extrapolated,extrapolated_margin,fit_a_over_G,fit_b_over_G2,largest_grid_shift,richardson_12,richardson_23,richardson_change,grid_1,M_grid_1,grid_2,M_grid_2,grid_3,M_grid_3
200000000,0,lo,112804773985,3,0.9999976231439532,2.3768560467596345e-06,0.2110171404201537,-11501.110270182282,-1.907814283219622e-07,0.9999977068255441,0.999997644064351,-6.276119313142203e-08,262144,0.9999982607472802,524288,0.9999979837864121,1048576,0.9999978139253816
200000000,0,hi,200000000000,3,1.0028180381194878,-0.0028180381194877757,0.28425869625061745,-12033.319742838532,-2.601459772044734e-07,1.002818125673412,1.0028180600079688,-6.566544330510737e-08,262144,1.0028189473725102,524288,1.0028185365229612,1048576,1.002818298265465
200000000,0,mid,112878256257,3,1.0000008660524764,-8.660524764003696e-07,0.1456381611060351,5958.881103515625,-1.4431094452760362e-07,1.00000082269591,1.0000008552133348,3.2517424752853685e-08,262144,1.000001508331104,524288,1.000001165513507,1048576,1.000001010363421
200000000,1,lo,112804773985,3,0.9999976231439532,2.3768560467596345e-06,0.2110171404201537,-11501.110270182282,-1.907814283219622e-07,0.9999977068255441,0.999997644064351,-6.276119313142203e-08,262144,0.9999982607472802,524288,0.9999979837864121,1048576,0.9999978139253816
200000000,1,hi,112878256257,3,1.0000008660524764,-8.660524764003696e-07,0.1456381611060351,5958.881103515625,-1.4431094452760362e-07,1.00000082269591,1.0000008552133348,3.2517424752853685e-08,262144,1.000001508331104,524288,1.000001165513507,1048576,1.000001010363421
200000000,1,mid,112858632051,3,1.0000000145129837,-1.4512983703696136e-08,0.14250640268437564,2158.35302734375,-1.3786770680646043e-07,0.9999999988088986,1.0000000105869624,1.1778063857548204e-08,262144,1.0000005895399386,524288,1.0000002941744186,1048576,1.0000001523806905
200000000,2,lo,112804773985,3,0.9999976231439532,2.3768560467596345e-06,0.2110171404201537,-11501.110270182282,-1.907814283219622e-07,0.9999977068255441,0.999997644064351,-6.276119313142203e-08,262144,0.9999982607472802,524288,0.9999979837864121,1048576,0.9999978139253816
200000000,2,hi,112858632051,3,1.0000000145129837,-1.4512983703696136e-08,0.14250640268437564,2158.35302734375,-1.3786770680646043e-07,0.9999999988088986,1.0000000105869624,1.1778063857548204e-08,262144,1.0000005895399386,524288,1.0000002941744186,1048576,1.0000001523806905
200000000,2,mid,112858305192,3,1.0000000054891158,-5.4891158285386155e-09,0.13960513251367956,2672.3397216796875,-1.3556830813499232e-07,0.9999999860452853,1.0000000006281582,1.4582872909230105e-08,262144,1.0000005769280942,524288,1.0000002814866897,1048576,1.000000141057424
200000000,3,lo,112804773985,3,0.9999976231439532,2.3768560467596345e-06,0.2110171404201537,-11501.110270182282,-1.907814283219622e-07,0.9999977068255441,0.999997644064351,-6.276119313142203e-08,262144,0.9999982607472802,524288,0.9999979837864121,1048576,0.9999978139253816
200000000,3,hi,112858305192,3,1.0000000054891158,-5.4891158285386155e-09,0.13960513251367956,2672.3397216796875,-1.3556830813499232e-07,0.9999999860452853,1.0000000006281582,1.4582872909230105e-08,262144,1.0000005769280942,524288,1.0000002814866897,1048576,1.000000141057424
200000000,3,mid,112858181852,3,1.000000000820289,-8.202889478781117e-10,0.13949461292941123,2700.0718994140625,-1.3548813071473376e-07,0.9999999811746803,0.9999999959088868,1.473420652153834e-08,262144,1.0000005722412248,524288,1.0000002767079526,1048576,1.0000001363084197
400000000,0,lo,112804773985,3,0.9999976195646731,2.380435326854169e-06,0.211016499553807,-11501.031819661439,-1.9078088842050533e-07,0.9999977032456931,0.9999976404849281,-6.276076502942374e-08,262144,0.9999982571666969,524288,0.999997980206195,1048576,0.9999978103455616
400000000,0,hi,200000000000,3,1.0028180344684057,-0.0028180344684056724,0.2842589002102613,-12033.445475260407,-2.601460573625758e-07,1.0028181220232448,1.0028180563571154,-6.566612942293659e-08,262144,1.0028189437203765,524288,1.0028185328718107,1048576,1.002818294614463
